cilo,q1,mean,med,fliers,q3,whishi,iqr,whislo,label,cihi
2.2607938810593713,-0.7310389711835795,2.1806735486429667,2.736886294090475,[-9.56296769 -9.46927616],4.987799053458566,11.85693728837063,5.718838024642146,-9.06058496453285,1. ANB Value,3.2077787034061487
28.28258350101587,25.3321232037175,28.843737838331208,28.795023432881536,[ 6.59740278 10.16544119 46.41692245 47.83781891 47.18707569 46.57098727],33.03077313699268,43.35829489545861,7.698649933275178,14.812509597139234,10. Frankfort to Mandibular (VBT),29.292201705568633
63.75597886870838,61.0443486134758,64.33850068927309,64.38010457750414,[78.80066349 80.47884186],67.60925777380511,77.3656345763031,6.564909160329314,51.64630680512761,11. Y-axis,64.81030374673418
-4.82450381679389,-8.921701968152547,-3.7326724851767086,-3.776316609504158,"[-29.95677155 -26.27409639  17.30116448  17.82825769  22.12709867
  16.37774608]",0.9128330060666259,15.466191155492087,9.834534974219173,-22.070940170940183,12. Subspinale to Nasion Perpendicular,-2.999982269007473
5.684637268847792,1.4054104565468095,7.328748051787832,6.3527441539258,[-16.9875513   31.68224163  31.16163982  37.55832106],12.78931958804851,29.652774018944587,11.383909131501701,-14.57168674698794,13. Pogonion to Nasion Perpendicular,7.799343217250498
79.33304151424403,76.37402527704126,79.9855832143718,79.91394376301147,[65.9091892  94.0467701  95.21496196 93.63442894 96.31192575],83.16730962436701,93.35588820131441,6.793284347325752,66.40606956583237,2. SNB Value,80.52686431432615
81.48083934543331,79.68475896835182,82.16625676301477,81.8208068492969,[69.62742567 68.83590221 70.49209354 69.56091266 94.19458571 95.58755204],84.89334285537967,92.02573174790012,5.2085838870278565,72.79447485230028,3. SNA Value,82.37337681864281
67.73657231244502,62.1578074372553,68.28069639027633,69.14675936526334,[ 38.0036991   41.54371855  96.08979669 100.6652093   96.89130304],75.17635721451599,90.48442471047066,13.018549777260688,43.23832309921054,4. ODI Value,70.55212185981367
82.74966330762403,78.69403792482234,85.63289226549158,83.842124491786,"[ 56.90548198 117.09858574 112.22496502 110.54685969 111.47645519
 110.66302198 113.81786914 113.29131724]",91.28377180209034,110.0730451165315,12.589733877268003,64.91185741604609,5. APDI Value,85.03501903130521
0.6346468842524651,0.6097111050361693,0.6433179408681494,0.6442801355867058,[0.49560259 0.50896112 0.84898086 0.79635222 0.80407034 0.81245197],0.6765820934177526,0.7607386233520769,0.06687098838158323,0.5261797803359113,6. FHI Value,0.6490132499572966
32.77193522960325,29.25418551348903,33.594018354251865,33.32121214830586,"[11.41187752 15.40610004 14.27445966 50.17374349 51.4797753  51.5215339
 50.69776876]",37.45409218830608,47.622160464331614,8.199906674817047,17.944040370667878,7. FMA Value,33.88923821078282
2.5396361803304606,0.9380371963365675,2.4167799922179154,2.907737973711325,"[-13.53403118  -7.15891053  -8.59069264  -9.17060521  -9.82496819
  -6.32534584  -6.32850693 -12.02039933  -5.53624421  -6.86002915
  -6.1         -8.30240929 -11.88107739  -5.40092585  -8.17067929
  -9.33005895  -6.45368112  -5.40832691  -7.37360156  -7.96303962
  -6.67308025  -6.72309453  11.52085066]",4.960340811709584,10.682696288858914,4.022303615373017,-5.0039984012787215,8. MW Value,3.1400636936215163
26.748466688761436,23.91926286979162,27.465074591281592,27.623658245784195,"[ 8.12416103 11.75521789 11.78236579 12.66396037  9.77886033 42.72745915
 43.21487021 45.32024704]",31.31332498273058,41.988383356114376,7.394062112938961,12.946409169813274,9. Palatal to Mandibular (VBT),28.270897687106057
